gen	phenotype	value
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	101.81670208529196
R	ovarno	37.0
R	winglength	1.989
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	213.0753992687576
S	ovarno	38.0
S	winglength	1.989
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	205.75708030657142
S	winglength	1.9909999999999999
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
S	mass	1.5
S	eggsize	167.8155315641537
S	ovarno	36.0
S	winglength	1.992
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	2.0
R	eggsize	160.81186220211674
R	ovarno	43.0
R	winglength	1.993
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.5
S	eggsize	73.84295557532792
S	ovarno	36.0
S	winglength	1.994
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	165.52043709606755
S	ovarno	30.0
S	winglength	1.995
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.4
S	eggsize	134.16965335031148
S	ovarno	31.0
S	winglength	1.996
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	152.0897462594056
S	winglength	1.996
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	2.1
R	eggsize	141.73511723391653
R	ovarno	34.0
R	winglength	1.9969999999999999
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.0
S	eggsize	253.7590206949374
S	winglength	1.9969999999999999
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	65.85317004449351
R	ovarno	40.0
R	winglength	1.9980000000000002
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	1.3
R	eggsize	214.15829373240882
R	ovarno	41.0
R	winglength	1.9980000000000002
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.7
S	eggsize	179.26525812653057
S	winglength	1.9980000000000002
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.9
S	eggsize	272.802019588785
S	winglength	1.9980000000000002
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	144.3637352224213
S	winglength	2.0
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	145.61374013594238
S	ovarno	38.0
S	winglength	2.001
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	1.9
