,chi2,Z,P,P.adjusted,comparisons
182,1018.978753,0.230032919,0.409033095,1,PSS - RS
201,1018.978753,6.366104453,9.69E-11,2.91E-08,PSS - RSR
221,1018.978753,0.913620854,0.180458052,1,PSS - RSS
242,1018.978753,2.686269073,0.003612744,1,PSS - S
264,1018.978753,-0.103758471,0.458680512,1,PSS - SS
287,1018.978753,0.794949559,0.213321422,1,PSS - SSS
78,1018.978753,-11.65656951,1.06E-31,3.19E-29,R - RP
90,1018.978753,-8.443946083,1.53E-17,4.60E-15,R - RPP
103,1018.978753,1.322428195,0.093012803,1,R - RPR
117,1018.978753,-0.606249262,0.272174623,1,R - RR
132,1018.978753,-7.759666726,4.26E-15,1.28E-12,R - RRP
148,1018.978753,0.059124067,0.476426645,1,R - RRR
165,1018.978753,-6.459184929,5.26E-11,1.58E-08,R - RRS
183,1018.978753,-7.880119611,1.64E-15,4.91E-13,R - RS
202,1018.978753,-0.122238068,0.451355239,1,R - RSR
222,1018.978753,-6.936608819,2.01E-12,6.02E-10,R - RSS
243,1018.978753,-6.736151153,8.13E-12,2.44E-09,R - S
265,1018.978753,-8.640907232,2.79E-18,8.37E-16,R - SS
288,1018.978753,-5.732009813,4.96E-09,1.49E-06,R - SSS
91,1018.978753,4.761702775,9.60E-07,0.000287949,RP - RPP
104,1018.978753,11.4643005,9.97E-31,2.99E-28,RP - RPR
118,1018.978753,10.28802103,3.99E-25,1.20E-22,RP - RR
133,1018.978753,5.295003047,5.95E-08,1.79E-05,RP - RRP
149,1018.978753,10.57141542,2.02E-26,6.07E-24,RP - RRR
166,1018.978753,5.584870805,1.17E-08,3.51E-06,RP - RRS
184,1018.978753,4.227633621,1.18E-05,0.003542429,RP - RS
203,1018.978753,9.764926771,7.96E-23,2.39E-20,RP - RSR
223,1018.978753,4.820448149,7.16E-07,0.000214854,RP - RSS
244,1018.978753,7.032498991,1.01E-12,3.04E-10,RP - S
266,1018.978753,4.031911107,2.77E-05,0.008298767,RP - SS
289,1018.978753,4.224914973,1.20E-05,0.003585465,RP - SSS
105,1018.978753,8.400166394,2.23E-17,6.69E-15,RPP - RPR
119,1018.978753,6.921321073,2.24E-12,6.71E-10,RPP - RR
134,1018.978753,0.65617368,0.255856191,1,RPP - RRP
150,1018.978753,7.314295445,1.29E-13,3.88E-11,RPP - RRR
167,1018.978753,1.27436068,0.10126781,1,RPP - RRS
185,1018.978753,-0.271097555,0.393158001,1,RPP - RS
204,1018.978753,6.522373926,3.46E-11,1.04E-08,RPP - RSR
224,1018.978753,0.500743631,0.308275781,1,RPP - RSS
245,1018.978753,2.510198997,0.006033157,1,RPP - S
267,1018.978753,-0.668656181,0.251857413,1,RPP - SS
290,1018.978753,0.426567088,0.334847337,1,RPP - SSS
120,1018.978753,-1.729289664,0.041878633,1,RPR - RR
135,1018.978753,-7.823214984,2.57E-15,7.72E-13,RPR - RRP
151,1018.978753,-1.122848904,0.130750836,1,RPR - RRR
168,1018.978753,-6.775629867,6.19E-12,1.86E-09,RPR - RRS
186,1018.978753,-8.02008285,5.28E-16,1.59E-13,RPR - RS
205,1018.978753,-1.200333909,0.115004843,1,RPR - RSR
225,1018.978753,-7.21303547,2.74E-13,8.21E-11,RPR - RSS
246,1018.978753,-6.873677527,3.13E-12,9.39E-10,RPR - S
268,1018.978753,-8.634672893,2.94E-18,8.83E-16,RPR - SS
291,1018.978753,-6.201658367,2.79E-10,8.38E-08,RPR - SSS
136,1018.978753,-6.313031792,1.37E-10,4.10E-08,RR - RRP
152,1018.978753,0.585396843,0.279140455,1,RR - RRR
169,1018.978753,-5.287413781,6.20E-08,1.86E-05,RR - RRS
187,1018.978753,-6.611692063,1.90E-11,5.70E-09,RR - RS
206,1018.978753,0.378346974,0.352586427,1,RR - RSR
226,1018.978753,-5.785448775,3.62E-09,1.08E-06,RR - RSS
247,1018.978753,-5.212291232,9.33E-08,2.80E-05,RR - S
269,1018.978753,-7.217885783,2.64E-13,7.92E-11,RR - SS
292,1018.978753,-4.914756181,4.44E-07,0.00013334,RR - SSS
153,1018.978753,6.726194431,8.71E-12,2.61E-09,RRP - RRR
170,1018.978753,0.666071398,0.252682733,1,RRP - RRS
188,1018.978753,-0.866222356,0.193184118,1,RRP - RS
207,1018.978753,5.984180581,1.09E-09,3.26E-07,RRP - RSR
227,1018.978753,-0.083725714,0.466637256,1,RRP - RSS
248,1018.978753,1.788166157,0.036874602,1,RRP - S
270,1018.978753,-1.289057688,0.098689016,1,RRP - SS
293,1018.978753,-0.062031416,0.475268907,1,RRP - SSS
171,1018.978753,-5.718023402,5.39E-09,1.62E-06,RRR - RRS
189,1018.978753,-7.000006351,1.28E-12,3.84E-10,RRR - RS
208,1018.978753,-0.158642633,0.436975219,1,RRR - RSR
228,1018.978753,-6.193390056,2.94E-10,8.83E-08,RRR - RSS
249,1018.978753,-5.682011432,6.66E-09,2.00E-06,RRR - S
271,1018.978753,-7.594480242,1.55E-14,4.64E-12,RRR - SS
294,1018.978753,-5.301708865,5.74E-08,1.72E-05,RRR - SSS
190,1018.978753,-1.425000149,0.077078579,1,RRS - RS
209,1018.978753,5.120387321,1.52E-07,4.57E-05,RRS - RSR
229,1018.978753,-0.680865387,0.247978336,1,RRS - RSS
250,1018.978753,0.911340605,0.181057969,1,RRS - S
272,1018.978753,-1.838510085,0.032993639,1,RRS - SS
295,1018.978753,-0.571671814,0.283772167,1,RRS - SSS
210,1018.978753,6.32425442,1.27E-10,3.82E-08,RS - RSR
230,1018.978753,0.708739958,0.239242932,1,RS - RSS
251,1018.978753,2.528118855,0.005733776,1,RS - S
273,1018.978753,-0.353469089,0.361868399,1,RS - SS
296,1018.978753,0.613491105,0.269775831,1,RS - SSS
231,1018.978753,-5.591266796,1.13E-08,3.38E-06,RSR - RSS
252,1018.978753,-4.950233827,3.71E-07,0.000111187,RSR - S
274,1018.978753,-6.834899456,4.10E-12,1.23E-09,RSR - SS
297,1018.978753,-4.876325128,5.40E-07,0.000162121,RSR - SSS
253,1018.978753,1.649354073,0.049537559,1,RSS - S
275,1018.978753,-1.080941866,0.139861487,1,RSS - SS
298,1018.978753,0.007441585,0.497031264,1,RSS - SSS
276,1018.978753,-3.07493461,0.001052744,0.315823065,S - SS
299,1018.978753,-1.338316733,0.090396605,1,S - SSS
300,1018.978753,0.923284173,0.177929567,1,SS - SSS
