,chi2,Z,P,P.adjusted,comparisons
242,240.5807105,1.478140401,0.069685101,1,PSS - S
264,240.5807105,-0.523448216,0.300331189,1,PSS - SS
287,240.5807105,-0.828270668,0.203758615,1,PSS - SSS
78,240.5807105,-5.150109079,1.30E-07,3.91E-05,R - RP
90,240.5807105,-1.845236623,0.032501563,1,R - RPP
103,240.5807105,-1.680140439,0.046464997,1,R - RPR
117,240.5807105,-6.970717161,1.58E-12,4.73E-10,R - RR
132,240.5807105,-3.057427512,0.001116228,0.334868444,R - RRP
148,240.5807105,-3.710973267,0.000103232,0.030969586,R - RRR
165,240.5807105,-2.078682267,0.018823282,1,R - RRS
183,240.5807105,-6.235827093,2.25E-10,6.74E-08,R - RS
202,240.5807105,-6.700224169,1.04E-11,3.12E-09,R - RSR
222,240.5807105,-5.373764875,3.86E-08,1.16E-05,R - RSS
243,240.5807105,-1.139608101,0.127224804,1,R - S
265,240.5807105,-2.918125845,0.001760711,0.528213299,R - SS
288,240.5807105,-3.306137107,0.000472959,0.141887685,R - SSS
91,240.5807105,3.282505135,0.000514446,0.154333668,RP - RPP
104,240.5807105,3.870121174,5.44E-05,0.016317191,RP - RPR
118,240.5807105,-1.455325515,0.072789583,1,RP - RR
133,240.5807105,2.337372357,0.009709916,1,RP - RRP
149,240.5807105,1.722479838,0.042491316,1,RP - RRR
166,240.5807105,2.978842614,0.001446697,0.434009031,RP - RRS
184,240.5807105,-0.417654313,0.33809994,1,RP - RS
203,240.5807105,-1.221172974,0.111010267,1,RP - RSR
223,240.5807105,0.081566073,0.467495891,1,RP - RSS
244,240.5807105,4.374852803,6.08E-06,0.001822717,RP - S
266,240.5807105,2.375258718,0.008768327,1,RP - SS
289,240.5807105,2.221059571,0.013173463,1,RP - SSS
105,240.5807105,0.312942908,0.377162019,1,RPP - RPR
119,240.5807105,-4.963159526,3.47E-07,0.000104033,RPP - RR
134,240.5807105,-1.112377328,0.132987974,1,RPP - RRP
150,240.5807105,-1.749082508,0.040138379,1,RPP - RRR
167,240.5807105,-0.257256147,0.398490522,1,RPP - RRS
185,240.5807105,-4.1235793,1.87E-05,0.005595449,RPP - RS
204,240.5807105,-4.707140822,1.26E-06,0.000376823,RPP - RSR
224,240.5807105,-3.395884522,0.000342036,0.10261082,RPP - RSS
245,240.5807105,0.838272253,0.200938908,1,RPP - S
267,240.5807105,-1.009605677,0.156342124,1,RPP - SS
290,240.5807105,-1.313053761,0.094582417,1,RPP - SSS
120,240.5807105,-5.790617521,3.51E-09,1.05E-06,RPR - RR
135,240.5807105,-1.545755056,0.061081868,1,RPR - RRP
151,240.5807105,-2.246504599,0.012335853,1,RPR - RRR
168,240.5807105,-0.585523378,0.279097926,1,RPR - RRS
186,240.5807105,-4.941700767,3.87E-07,0.000116166,RPR - RS
205,240.5807105,-5.4992262,1.91E-08,5.72E-06,RPR - RSR
225,240.5807105,-4.054045476,2.52E-05,0.007550914,RPR - RSS
246,240.5807105,0.57720784,0.281899531,1,RPR - S
268,240.5807105,-1.422468596,0.077445131,1,RPR - SS
