generation	phenotype	value
SS	devLPA	4
SS	mass	1.7
SS	eggsize	241.65255653566618
SS	ovarno	42.0
SS	winglength	2.016
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.2
PS	eggsize	240.46784870770892
PS	ovarno	35.0
PS	winglength	2.017
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
PS	mass	1.6
PS	eggsize	90.34948330678858
PS	ovarno	24.0
PS	winglength	2.019
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
PS	mass	1.4
PS	eggsize	151.56262696506494
PS	ovarno	33.0
PS	winglength	2.019
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PR	mass	1.5
PR	eggsize	202.12303057763066
PR	ovarno	44.0
PR	winglength	2.019
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
PS	mass	1.7
PS	eggsize	108.06657136019754
PS	ovarno	32.0
PS	winglength	2.02
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
PS	mass	1.3
PS	eggsize	153.5467284700697
PS	ovarno	36.0
PS	winglength	2.02
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PR	mass	1.7
PR	eggsize	154.15410033982172
PR	winglength	2.02
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RS	mass	1.5
RS	eggsize	163.50691884978758
RS	ovarno	32.0
RS	winglength	2.021
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.2
RS	eggsize	136.91340124007684
RS	ovarno	38.0
RS	winglength	2.021
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.5
PS	eggsize	170.30205909910126
PS	winglength	2.021
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
SS	mass	1.5
SS	eggsize	174.8577959868927
SS	ovarno	39.0
SS	winglength	2.022
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PR	mass	1.6
PR	eggsize	134.27998123928765
PR	winglength	2.023
PR	devL1A	9.5
PR	devL1LP	4.5
PR	devLPA	5
RR	mass	1.7
RR	eggsize	115.85139144353225
RR	winglength	2.023
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PR	mass	1.6
PR	eggsize	267.23922074981715
PR	ovarno	38.0
PR	winglength	2.024
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	1.6
RR	eggsize	218.82246484504782
RR	ovarno	40.0
RR	winglength	2.024
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.4
PS	eggsize	65.53769758844196
PS	ovarno	35.0
PS	winglength	2.025
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
RR	mass	1.9
RR	eggsize	193.5642957213415
RR	ovarno	38.0
RR	winglength	2.025
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PR	mass	2.3
PR	eggsize	183.71335545766374
PR	winglength	2.025
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
PP	mass	1.3
PP	eggsize	199.9242366934895
PP	ovarno	30.0
PP	winglength	2.026
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
SS	mass	1.5
SS	eggsize	122.36849258146447
SS	ovarno	35.0
SS	winglength	2.026
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PR	mass	1.7
PR	eggsize	185.39411951167705
PR	ovarno	43.0
PR	winglength	2.026
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.4
PS	eggsize	116.9276025142556
PS	winglength	2.026
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
RS	mass	1.9
RS	eggsize	183.09449158865078
RS	ovarno	38.0
RS	winglength	2.027
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.9
PR	eggsize	151.19206765434438
PR	ovarno	39.0
PR	winglength	2.027
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.5
PS	eggsize	108.91705337108878
PS	winglength	2.029
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RS	mass	1.9
RS	eggsize	184.5641912343131
RS	winglength	2.029
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.7
SS	eggsize	62.52399450308921
SS	ovarno	38.0
SS	winglength	2.03
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RS	mass	1.8
RS	eggsize	208.67695847731846
RS	ovarno	34.0
RS	winglength	2.031
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.6
PS	eggsize	81.13854065778769
PS	ovarno	35.0
PS	winglength	2.031
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
RS	mass	1.6
RS	eggsize	155.0710513218271
RS	ovarno	38.0
RS	winglength	2.031
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.3
RS	eggsize	210.3847908774021
RS	ovarno	39.0
RS	winglength	2.031
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
RR	mass	1.6
RR	eggsize	134.1165828421272
RR	winglength	2.031
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
SS	mass	1.7
SS	eggsize	76.54125316222789
SS	winglength	2.031
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RR	mass	1.4
RR	eggsize	169.26356790555377
RR	ovarno	38.0
RR	winglength	2.032
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PR	mass	1.4
PR	eggsize	179.27141891425364
PR	ovarno	39.0
PR	winglength	2.032
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
PR	mass	1.5
PR	eggsize	170.6391760806174
PR	ovarno	44.0
PR	winglength	2.032
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
PS	mass	1.2
PS	eggsize	124.92918095299191
PS	winglength	2.032
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RS	mass	2.1
RS	eggsize	127.63184688769762
RS	ovarno	37.0
RS	winglength	2.034
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.4
RS	eggsize	175.4920506670488
RS	winglength	2.034
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.8
SS	eggsize	194.40461538595517
SS	winglength	2.034
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PR	mass	2.0
PR	eggsize	211.85208649303667
PR	ovarno	29.0
PR	winglength	2.035
PR	devL1A	9.5
PR	devL1LP	4.5
PR	devLPA	5
SS	mass	1.0
SS	eggsize	103.50009023831362
SS	ovarno	39.0
SS	winglength	2.035
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PR	mass	1.5
PR	eggsize	80.1630001506082
PR	ovarno	30.0
PR	winglength	2.036
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
PR	mass	1.5
PR	eggsize	217.63286191695482
PR	ovarno	34.0
PR	winglength	2.036
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.5
PS	eggsize	52.41923362962254
PS	ovarno	39.0
PS	winglength	2.036
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PR	mass	1.3
PR	eggsize	238.73116541696356
PR	winglength	2.036
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
RR	mass	2.1
RR	eggsize	94.75654836813361
RR	ovarno	40.0
RR	winglength	2.038
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.6
PS	eggsize	131.5828020790922
PS	winglength	2.038
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
RR	mass	1.8
RR	eggsize	28.78902616524168
RR	ovarno	34.0
RR	winglength	2.039
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.5
PS	eggsize	157.70693476236076
PS	winglength	2.039
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RS	mass	1.8
RS	eggsize	102.83655793339717
RS	winglength	2.04
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.9
RS	eggsize	193.10690183108295
RS	ovarno	33.0
RS	winglength	2.041
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.4
PR	eggsize	150.03718798784098
PR	winglength	2.041
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RS	mass	1.6
RS	eggsize	226.95027231332966
RS	ovarno	31.0
RS	winglength	2.043
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.8
SS	eggsize	90.47864962005232
SS	ovarno	40.0
SS	winglength	2.044
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.5
PS	eggsize	213.7957008433492
PS	ovarno	35.0
PS	winglength	2.045
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	1.8
RR	eggsize	178.08829880239222
RR	ovarno	36.0
RR	winglength	2.045
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.3
RR	eggsize	84.0298659487158
RR	ovarno	35.0
RR	winglength	2.046
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PR	mass	2.0
PR	eggsize	135.46388924559184
PR	winglength	2.046
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
PS	mass	1.3
PS	eggsize	241.341827365573
PS	ovarno	28.0
PS	winglength	2.047
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
PR	mass	1.5
PR	eggsize	214.49572879046127
PR	ovarno	46.0
PR	winglength	2.047
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
PR	mass	1.6
PR	eggsize	118.96839304830826
PR	ovarno	39.0
PR	winglength	2.048
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.3
PS	eggsize	129.6015140708471
PS	ovarno	33.0
PS	winglength	2.049
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RR	mass	1.3
RR	eggsize	137.939979411873
RR	ovarno	36.0
RR	winglength	2.049
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.5
PS	eggsize	122.67401947785517
PS	winglength	2.05
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
PS	mass	1.5
PS	eggsize	127.0784525454929
PS	ovarno	32.0
PS	winglength	2.051
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	1.8
RR	eggsize	198.21705162364736
RR	ovarno	44.0
RR	winglength	2.051
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RR	mass	1.9
RR	eggsize	117.07624261633737
RR	ovarno	38.0
RR	winglength	2.052
RR	devL1A	7.5
RR	devL1LP	3.5
RR	devLPA	4
PR	mass	1.6
PR	eggsize	160.426053614159
PR	ovarno	37.0
PR	winglength	2.053
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	1.6
RR	eggsize	167.9240782809495
RR	ovarno	37.0
RR	winglength	2.053
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PR	mass	1.4
PR	eggsize	141.01652596869363
PR	winglength	2.053
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	1.8
PR	eggsize	202.4603480867612
PR	winglength	2.053
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.4
PS	eggsize	93.78380059770907
PS	winglength	2.053
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
PR	mass	1.4
PR	eggsize	185.3246920517414
PR	ovarno	38.0
PR	winglength	2.054
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
PR	mass	1.6
PR	eggsize	140.46576121270044
PR	ovarno	42.0
PR	winglength	2.054
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	2.2
RR	eggsize	153.71631627276554
RR	winglength	2.055
RR	devL1A	7.5
RR	devL1LP	3.5
RR	devLPA	4
PS	mass	1.3
PS	eggsize	181.2099218793187
PS	winglength	2.056
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	1.6
RR	eggsize	175.35462488819286
RR	ovarno	39.0
RR	winglength	2.057
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.5
RR	eggsize	159.5694170308645
RR	ovarno	45.0
RR	winglength	2.057
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RS	mass	1.9
RS	eggsize	92.72243190152327
RS	ovarno	34.0
RS	winglength	2.059
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.4
SS	eggsize	125.97412537224604
SS	ovarno	35.0
SS	winglength	2.059
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PR	mass	1.4
PR	eggsize	125.28075138911234
PR	ovarno	41.0
PR	winglength	2.059
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
RR	mass	1.5
RR	eggsize	134.51810480231075
RR	ovarno	42.0
RR	winglength	2.059
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.8
PS	eggsize	100.78126721337452
PS	winglength	2.059
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PS	mass	1.6
PS	eggsize	148.6445968249361
PS	winglength	2.06
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
PS	mass	1.2
PS	eggsize	155.0184929640983
PS	winglength	2.06
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RR	mass	1.6
RR	eggsize	161.95213618205955
RR	winglength	2.06
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PR	mass	1.9
PR	eggsize	154.9605487332564
PR	ovarno	36.0
PR	winglength	2.062
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
SS	mass	2.2
SS	eggsize	191.93801188303553
SS	winglength	2.063
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.4
PS	eggsize	190.1208290471813
PS	winglength	2.065
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
RS	mass	1.8
RS	eggsize	153.734591005929
RS	ovarno	34.0
RS	winglength	2.067
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.5
PR	eggsize	115.12167142665612
PR	ovarno	39.0
PR	winglength	2.069
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	1.6
PR	eggsize	210.47276659488153
PR	ovarno	31.0
PR	winglength	2.07
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.2
PS	eggsize	145.40237061270804
PS	winglength	2.071
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PS	mass	1.2
PS	eggsize	197.56340325218528
PS	winglength	2.071
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PR	mass	1.3
PR	eggsize	135.25617190097998
PR	ovarno	38.0
PR	winglength	2.072
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
RR	mass	1.7
RR	eggsize	104.93671676514055
RR	ovarno	38.0
RR	winglength	2.072
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.6
RR	eggsize	146.54226887383885
RR	ovarno	39.0
RR	winglength	2.072
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PR	mass	1.6
PR	eggsize	106.11073634216234
PR	winglength	2.073
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.2
PS	eggsize	182.58389051250197
PS	winglength	2.074
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
PR	mass	1.6
PR	eggsize	49.02161933726315
PR	ovarno	37.0
PR	winglength	2.075
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	1.6
RR	eggsize	234.7859859226619
RR	ovarno	39.0
RR	winglength	2.076
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PR	mass	2.1
PR	eggsize	143.51461829270363
PR	winglength	2.076
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.1
PR	eggsize	95.31624589675819
PR	winglength	2.078
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
PS	mass	1.3
PS	eggsize	114.45762580991804
PS	winglength	2.078
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PR	mass	1.9
PR	eggsize	9.620219936087665
PR	ovarno	41.0
PR	winglength	2.079
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.0
PR	eggsize	100.02873123063557
PR	winglength	2.079
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	1.7
RR	eggsize	168.54988718814394
RR	winglength	2.079
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RR	mass	1.9
RR	eggsize	214.05822946595958
RR	ovarno	33.0
RR	winglength	2.08
RR	devL1A	7.5
RR	devL1LP	3.5
RR	devLPA	4
PR	mass	2.4
PR	eggsize	89.6106035194302
PR	ovarno	34.0
PR	winglength	2.082
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.7
PS	eggsize	178.27007371474932
PS	ovarno	31.0
PS	winglength	2.086
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
PS	mass	1.5
PS	eggsize	24.5128676749884
PS	winglength	2.086
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
PR	mass	1.8
PR	eggsize	56.94147316360521
PR	ovarno	34.0
PR	winglength	2.087
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.1
PR	eggsize	151.1459471617258
PR	winglength	2.087
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
PP	mass	1.9
PP	eggsize	170.5612225988676
PP	ovarno	36.0
PP	winglength	2.093
PP	devL1A	9.5
PP	devL1LP	5.5
PP	devLPA	4
RR	mass	1.7
RR	eggsize	215.09305041438034
RR	ovarno	38.0
RR	winglength	2.094
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RR	mass	1.6
RR	eggsize	108.03793446805938
RR	winglength	2.096
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
SS	mass	1.7
SS	eggsize	38.04878144905133
SS	ovarno	37.0
SS	winglength	2.101
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RR	mass	1.5
RR	eggsize	155.33944743411345
RR	ovarno	29.0
RR	winglength	2.109
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PR	mass	2.0
PR	eggsize	128.1052758048892
PR	ovarno	44.0
PR	winglength	2.11
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	1.9
PR	eggsize	194.8994168251166
PR	ovarno	40.0
PR	winglength	2.113
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.0
PR	eggsize	185.7903175808057
PR	ovarno	42.0
PR	winglength	2.116
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.2
PS	eggsize	106.80899030748961
PS	ovarno	37.0
PS	winglength	2.117
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PR	mass	2.0
PR	eggsize	134.48218957702713
PR	ovarno	40.0
PR	winglength	2.126
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.0
PR	eggsize	211.85138660405033
PR	ovarno	35.0
PR	winglength	2.138
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	2.5
PR	eggsize	247.71391745571796
PR	winglength	2.167
PR	devL1A	9.5
PR	devL1LP	4.5
PR	devLPA	5
PR	mass	0.7
PR	eggsize	190.03504970501945
PR	ovarno	14.0
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4
RS	mass	1.4
RS	eggsize	142.71421236696156
RS	ovarno	34.0
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
SS	mass	1.0
SS	eggsize	107.670420217078
SS	ovarno	35.0
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.3
PS	eggsize	161.1958189449735
PS	ovarno	36.0
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	1.9
RR	eggsize	65.95185728767387
RR	ovarno	40.0
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.6
RR	eggsize	187.64811273883328
RR	ovarno	42.0
RR	devL1A	7.5
RR	devL1LP	3.5
RR	devLPA	4
PP	mass	1.8
PP	eggsize	121.72835676645255
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PP	mass	1.0
PP	eggsize	151.30174003071787
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
PP	mass	1.1
PP	eggsize	120.18298523878883
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
PR	mass	2.2
PR	eggsize	154.9303019125283
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
PR	mass	0.6
PR	eggsize	109.25458537624365
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4
PR	mass	1.2
PR	eggsize	99.15093131727915
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4
PR	mass	0.8
PR	eggsize	134.3034096032874
PR	devL1A	12.5
PR	devL1LP	8.5
PR	devLPA	4
PR	mass	1.2
PR	eggsize	211.8858030230449
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PR	mass	1.7
PR	eggsize	56.2352296144375
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.2
PS	eggsize	150.38095606239423
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PS	mass	1.0
PS	eggsize	208.55603819972904
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PS	mass	1.5
PS	eggsize	107.57363499627007
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
RP	mass	1.3
RP	eggsize	177.16178922241585
RP	devL1A	9.5
RP	devL1LP	5.5
RP	devLPA	4
RP	mass	1.1
RP	eggsize	199.40442208153786
RP	devL1A	10.5
RP	devL1LP	5.5
RP	devLPA	5
RS	mass	0.5
RS	eggsize	140.81798734086635
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
RS	mass	0.4
RS	eggsize	173.434277463749
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	0.6
RS	eggsize	227.8382071439417
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
SS	mass	1.6
SS	eggsize	55.18473500483677
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	2.4
SS	eggsize	105.17224767171047
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.4
SS	eggsize	176.37324010182124
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
SS	mass	0.9
SS	eggsize	181.45214566078562
SS	devL1A	10.5
SS	devL1LP	6.5
SS	devLPA	4
PPP	mass	1.3
PPP	eggsize	115.18777107396
PPP	winglength	1.495
PPP	devL1A	11.5
PPP	devL1LP	6.5
PPP	devLPA	5
PRP	mass	0.8
PRP	eggsize	81.44141237912945
PRP	winglength	1.575
PRP	devL1A	12.5
PRP	devL1LP	7.5
PRP	devLPA	5
RPP	mass	0.8
RPP	eggsize	253.27667143040946
RPP	ovarno	13.0
RPP	winglength	1.578
RPP	devL1A	11.5
RPP	devL1LP	6.5
RPP	devLPA	5
RRP	mass	1.5
RRP	eggsize	211.10986976448473
RRP	winglength	1.678
RRP	devL1A	9.5
RRP	devL1LP	5.5
RRP	devLPA	4
PRP	mass	1.1
PRP	eggsize	190.19718206601382
PRP	ovarno	27.0
PRP	winglength	1.691
PRP	devL1A	11.5
PRP	devL1LP	5.5
PRP	devLPA	6
RRP	mass	0.8
RRP	eggsize	211.86764872946839
RRP	ovarno	25.0
RRP	winglength	1.702
RRP	devL1A	10.5
RRP	devL1LP	5.5
RRP	devLPA	5
PSP	mass	1.4
PSP	eggsize	246.47952049949058
PSP	winglength	1.713
PSP	devL1A	11.5
PSP	devL1LP	7.5
PSP	devLPA	4
PPP	mass	1.0
PPP	eggsize	155.26395477965747
PPP	winglength	1.721
PPP	devL1A	11.5
PPP	devL1LP	7.5
PPP	devLPA	4
RRP	mass	1.3
RRP	eggsize	195.1178132743345
RRP	winglength	1.728
RRP	devL1A	9.5
RRP	devL1LP	5.5
RRP	devLPA	4
PSP	mass	1.1
PSP	eggsize	225.8908861313437
PSP	winglength	1.731
PSP	devL1A	12.5
PSP	devL1LP	6.5
PSP	devLPA	6
PRP	mass	1.2
PRP	eggsize	142.59452619266628
PRP	winglength	1.734
PRP	devL1A	11.5
PRP	devL1LP	6.5
PRP	devLPA	5
PSP	mass	0.8
PSP	eggsize	196.27064116751785
PSP	winglength	1.735
PSP	devL1A	11.5
PSP	devL1LP	7.5
PSP	devLPA	4
RPP	mass	1.0
RPP	eggsize	179.8308899850916
RPP	ovarno	27.0
RPP	winglength	1.74
RPP	devL1A	10.5
RPP	devL1LP	6.5
RPP	devLPA	4
RRP	mass	0.9
RRP	eggsize	215.71743382488557
RRP	ovarno	31.0
RRP	winglength	1.744
RRP	devL1A	9.5
RRP	devL1LP	5.5
RRP	devLPA	4
PPP	mass	0.8
PPP	eggsize	110.4113786598488
PPP	winglength	1.748
PPP	devL1A	11.5
PPP	devL1LP	7.5
PPP	devLPA	4
RRP	mass	1.0
RRP	eggsize	166.3578853479217
RRP	winglength	1.748
RRP	devL1A	10.5
RRP	devL1LP	5.5
RRP	devLPA	5
PPP	mass	1.2
PPP	eggsize	164.0298778822597
PPP	winglength	1.757
PPP	devL1A	11.5
PPP	devL1LP	7.5
PPP	devLPA	4
PSP	mass	1.4
PSP	eggsize	201.09773822029138
PSP	ovarno	30.0
PSP	winglength	1.758
PSP	devL1A	12.5
PSP	devL1LP	6.5
PSP	devLPA	6
RRP	mass	0.9
RRP	eggsize	314.5644394040728
RRP	ovarno	30.0
RRP	winglength	1.765
RRP	devL1A	9.5
RRP	devL1LP	5.5
RRP	devLPA	4
PPP	mass	1.1
PPP	eggsize	93.63768365955647
PPP	winglength	1.77
PPP	devL1A	11.5
PPP	devL1LP	7.5
PPP	devLPA	4
RPP	mass	0.9
RPP	eggsize	232.92161643291283
RPP	ovarno	27.0
RPP	winglength	1.771
RPP	devL1A	9.5
RPP	devL1LP	6.5
RPP	devLPA	3
PSP	mass	1.2
PSP	eggsize	185.01001523089678
PSP	ovarno	23.0
PSP	winglength	1.774
PSP	devL1A	12.5
PSP	devL1LP	8.5
PSP	devLPA	4
PSP	mass	0.9
PSP	eggsize	89.04902608152919
PSP	winglength	1.775
PSP	devL1A	11.5
PSP	devL1LP	6.5
PSP	devLPA	5
PRP	mass	1.1
PRP	eggsize	160.91853176309482
PRP	winglength	1.777
PRP	devL1A	11.5
PRP	devL1LP	6.5
PRP	devLPA	5
RRP	mass	1.2
RRP	eggsize	122.82442402271998
RRP	winglength	1.778
RRP	devL1A	9.5
RRP	devL1LP	5.5
RRP	devLPA	4
PRP	mass	0.9
PRP	eggsize	199.05233584483153
PRP	winglength	1.784
PRP	devL1A	10.5
